condition,lambda_language_alignment,metric,mean,sample_sd,seed_count
full_model,0.0,depth_accuracy,0.9564638783269962,0.015240778216027786,10
full_model,0.0,parent_accuracy,0.8140684410646388,0.012166640244027112,10
full_model,0.0,structure_cross_language_mrr,0.9706536302734021,0.0053593960524118,10
full_model,0.0,structure_cross_language_same_id_distance,0.7472627552686535,0.015691486350251718,10
full_model,0.0,structure_cross_language_top1,0.944296577946768,0.010031907855667859,10
full_model,0.0,structure_wider_neighbourhood_jaccard_k10,0.6422276066958464,0.01225288291338572,10
full_model,0.03,depth_accuracy,0.9568441064638783,0.015736015015543597,10
full_model,0.03,parent_accuracy,0.8141634980988594,0.010895911827661208,10
full_model,0.03,structure_cross_language_mrr,0.979936628643853,0.0037600278644043584,10
full_model,0.03,structure_cross_language_same_id_distance,0.6842856784510521,0.015751036425960284,10
full_model,0.03,structure_cross_language_top1,0.9615019011406845,0.006740192454430479,10
full_model,0.03,structure_wider_neighbourhood_jaccard_k10,0.6633874466322465,0.011899607186835094,10
full_model,0.1,depth_accuracy,0.9580798479087452,0.015218694180497622,10
full_model,0.1,parent_accuracy,0.813403041825095,0.010985840871700488,10
full_model,0.1,structure_cross_language_mrr,0.9898875158428391,0.0020552321013128866,10
full_model,0.1,structure_cross_language_same_id_distance,0.5929141637178655,0.014630119606974447,10
full_model,0.1,structure_cross_language_top1,0.9802281368821293,0.00402794640863645,10
full_model,0.1,structure_wider_neighbourhood_jaccard_k10,0.6952582234733878,0.011441429509992163,10
full_model,0.3,depth_accuracy,0.9576996197718631,0.01639255423922413,10
full_model,0.3,parent_accuracy,0.8086501901140685,0.011104010688272409,10
full_model,0.3,structure_cross_language_mrr,0.9953105196451204,0.0018342453186389795,10
full_model,0.3,structure_cross_language_same_id_distance,0.488281754489294,0.010089940391012702,10
full_model,0.3,structure_cross_language_top1,0.9907794676806083,0.0036692507729313277,10
full_model,0.3,structure_wider_neighbourhood_jaccard_k10,0.7362182773611984,0.010393469447654598,10
full_model,1.0,depth_accuracy,0.9374524714828897,0.019423088054812347,10
full_model,1.0,parent_accuracy,0.779467680608365,0.016915523212977374,10
full_model,1.0,structure_cross_language_mrr,0.9979245880861851,0.001625039093909944,10
full_model,1.0,structure_cross_language_same_id_distance,0.40685296603354554,0.014846010974624142,10
full_model,1.0,structure_cross_language_top1,0.9959125475285171,0.0032016649123115617,10
full_model,1.0,structure_wider_neighbourhood_jaccard_k10,0.7630563722293761,0.009202914942850271,10
no_successor,0.0,depth_accuracy,0.9802281368821293,0.00502595185269922,10
no_successor,0.0,parent_accuracy,0.7567490494296578,0.015238472425951994,10
no_successor,0.0,structure_cross_language_mrr,0.6777755145150582,0.012844739226510927,10
no_successor,0.0,structure_cross_language_same_id_distance,0.6577772190192354,0.018255231900100474,10
no_successor,0.0,structure_cross_language_top1,0.4828897338403042,0.019111481432192923,10
no_successor,0.0,structure_wider_neighbourhood_jaccard_k10,0.60688920203114,0.012984578805575058,10
no_successor,1.0,depth_accuracy,0.9655893536121674,0.010545191696492824,10
no_successor,1.0,parent_accuracy,0.7213878326996198,0.01996172571109229,10
no_successor,1.0,structure_cross_language_mrr,0.8252444323737099,0.00996176577904561,10
no_successor,1.0,structure_cross_language_same_id_distance,0.3319062076898526,0.009403383284719968,10
no_successor,1.0,structure_cross_language_top1,0.7113117870722433,0.015235836809998345,10
no_successor,1.0,structure_wider_neighbourhood_jaccard_k10,0.7376496658117101,0.010998455880802907,10
