metric,n,mean_lambda_000,mean_lambda_003,mean_difference_003_minus_000,sd_difference,bootstrap_seed,bootstrap_resamples,bootstrap_ci_95_low,bootstrap_ci_95_high,sign_flip_p_value_two_sided,seeds_higher_003,seeds_higher_000,seeds_equal,favourable_direction,seeds_favouring_003,seeds_favouring_000,standardised_paired_effect_size_dz,effect_size_formula
cross_language_top1_id_accuracy,10,0.9347908745247149,0.9365019011406844,0.0017110266159695796,0.005429264889886918,20260717,10000,-0.0014258555133079942,0.004847908745247165,0.359375,6,3,1,higher,6,3,0.3151488554475774,mean(difference_003_minus_000) / sample_sd(difference_003_minus_000)
cross_language_mrr,10,0.9649984157160963,0.9662468314321927,0.0012484157160963516,0.002831087704592715,20260717,10000,-0.000415082382762999,0.0029024081115336165,0.1953125,7,3,0,higher,7,3,0.4409668107671538,mean(difference_003_minus_000) / sample_sd(difference_003_minus_000)
parent_accuracy,10,0.8600760456273764,0.8608365019011407,0.0007604562737642429,0.0032250977566538395,20260717,10000,-0.0010456273764258728,0.0026615969581748945,0.5546875,6,3,1,higher,6,3,0.23579324756755435,mean(difference_003_minus_000) / sample_sd(difference_003_minus_000)
depth_accuracy,10,0.964638783269962,0.9642585551330799,-0.00038022813688211033,0.0010218324142330293,20260717,10000,-0.0009505703422053146,0.000190114068441094,0.3984375,3,6,1,higher,3,6,-0.37210420376760445,mean(difference_003_minus_000) / sample_sd(difference_003_minus_000)
next_accuracy,10,0.6201520912547529,0.618916349809886,-0.0012357414448669224,0.005090459748626463,20260717,10000,-0.004372623574144497,0.0015209125475284968,0.51171875,5,4,1,higher,5,4,-0.24275635323515862,mean(difference_003_minus_000) / sample_sd(difference_003_minus_000)
reconstruction_loss,10,1.1893248515970567,1.1910723840489106,0.0017475324518539948,0.01175990654925006,20260717,10000,-0.0053328324766720005,0.008486683929667694,0.640625,7,3,0,lower,3,7,0.14860087914265244,mean(difference_003_minus_000) / sample_sd(difference_003_minus_000)
perplexity,10,3.2854125261306764,3.291439151763916,0.006026625633239746,0.038271303539120886,20260717,10000,-0.01696500778198242,0.02800889015197754,0.625,7,3,0,lower,3,7,0.1574711357056165,mean(difference_003_minus_000) / sample_sd(difference_003_minus_000)
kl_text,10,0.8842841576127445,0.9033063232898713,0.019022165677126713,0.014296182800331545,20260717,10000,0.01141901717466468,0.028125798001008895,0.001953125,10,0,0,lower,0,10,1.3305765561899199,mean(difference_003_minus_000) / sample_sd(difference_003_minus_000)
kl_structure,10,10.089317456413717,10.07863676407758,-0.010680692336138619,0.01850135426846219,20260717,10000,-0.02212202969719428,-0.000612242081585812,0.087890625,3,7,0,lower,7,3,-0.5772924609278554,mean(difference_003_minus_000) / sample_sd(difference_003_minus_000)
mean_same_id_cross_language_distance,10,0.7597744104186845,0.7485672503143209,-0.011207160104363567,0.004747691709915236,20260717,10000,-0.013829181371646215,-0.008346609819411276,0.001953125,0,10,0,lower,10,0,-2.360549249850862,mean(difference_003_minus_000) / sample_sd(difference_003_minus_000)
