metric,count,mean,std,min,max
cross_language_mrr,10,0.9546091482397357,0.004302397677554666,0.9456790885498114,0.9606087010792336
cross_language_mrr_de_to_en,10,0.9556166685622538,0.004682380932880866,0.9464904339429052,0.9616022391212504
cross_language_mrr_en_to_de,10,0.9536016279172171,0.004691930624836849,0.9448677431567164,0.9596151630372163
cross_language_top1_id_accuracy,10,0.9227186311787072,0.008735713287436228,0.9039923954372624,0.9306083650190115
cross_language_top1_id_accuracy_de_to_en,10,0.9245247148288973,0.009612831072363133,0.9049429657794676,0.935361216730038
cross_language_top1_id_accuracy_en_to_de,10,0.9209125475285171,0.008926142895644614,0.903041825095057,0.9296577946768061
depth_accuracy,10,0.9574144486692016,0.016572548665133708,0.9296577946768061,0.9752851711026616
depth_accuracy_by_language.de,10,0.9577946768060837,0.015543431905455894,0.9334600760456274,0.9752851711026616
depth_accuracy_by_language.en,10,0.9570342205323195,0.01823950493099972,0.9239543726235742,0.9771863117870723
kl,10,10.835108835556928,0.18257467263725705,10.55257096010096,11.168912102194394
kl_structure,10,9.975548441269819,0.15348580980232934,9.769899648778578,10.219983661876006
kl_text,10,0.8595604090129627,0.20328701462591126,0.6356471812023836,1.2537106170373804
loss,10,1.6954092313261593,0.023282913733576792,1.6618081822114832,1.7335818865719963
mean_cross_language_parent_child_distance,10,6.144559711619839,0.1218562566859625,5.913101615933325,6.310318036575538
mean_parent_child_distance,10,6.141993347436247,0.12147606759204775,5.910826320593068,6.307528731680559
mean_same_id_cross_language_distance,10,0.7756406228833552,0.013963313282804073,0.74349319257777,0.7935157428166258
mean_sibling_distance,10,1.849067413687577,0.020668087889470173,1.8259123376695625,1.884555384516716
mean_unrelated_distance,10,5.796424549143804,0.07412447836316474,5.716871612255564,5.929097157637429
next_accuracy,10,0.6141634980988593,0.023704826401121933,0.5769961977186312,0.6501901140684411
next_accuracy_by_language.de,10,0.6157794676806083,0.026907839001496417,0.5779467680608364,0.6615969581749049
next_accuracy_by_language.en,10,0.6125475285171103,0.022365689992171485,0.5760456273764258,0.6463878326996197
parent_accuracy,10,0.8538973384030418,0.010218815396105285,0.8393536121673004,0.8669201520912547
parent_accuracy_by_language.de,10,0.8519011406844106,0.0101966855454083,0.8346007604562737,0.8631178707224335
parent_accuracy_by_language.en,10,0.855893536121673,0.012183132918324884,0.8346007604562737,0.8726235741444867
perplexity,10,3.2813196182250977,0.07097621053015768,3.1903936862945557,3.405139923095703
reconstruction_loss,10,1.1880361921647016,0.021548802853753962,1.160144329071045,1.225286041989046
reconstruction_loss_by_language.de,10,1.113546730747921,0.024467616327778562,1.074296310544014,1.157779049057471
reconstruction_loss_by_language.en,10,1.2576579999334458,0.020748480747279693,1.2187795798814796,1.292263522914154
