seed,cross_language_mrr,cross_language_mrr_de_to_en,cross_language_mrr_en_to_de,cross_language_top1_id_accuracy,cross_language_top1_id_accuracy_de_to_en,cross_language_top1_id_accuracy_en_to_de,depth_accuracy,depth_accuracy_by_language.de,depth_accuracy_by_language.en,kl,kl_structure,kl_text,loss,mean_cross_language_parent_child_distance,mean_parent_child_distance,mean_same_id_cross_language_distance,mean_sibling_distance,mean_unrelated_distance,next_accuracy,next_accuracy_by_language.de,next_accuracy_by_language.en,parent_accuracy,parent_accuracy_by_language.de,parent_accuracy_by_language.en,perplexity,reconstruction_loss,reconstruction_loss_by_language.de,reconstruction_loss_by_language.en
0,0.8680514369253454,0.8616340475273924,0.8744688263232973,0.80893536121673,0.7946768060836502,0.8231939163498099,0.7557034220532319,0.7566539923954373,0.7547528517110266,7.597833857816808,6.675760409411262,0.9220735360594357,1.632015249308418,4.611113416666241,4.602498023209085,1.142304027148526,2.3783554534762454,4.55170936451892,0.33365019011406843,0.32509505703422054,0.34220532319391633,0.5361216730038023,0.5399239543726235,0.532319391634981,3.629179000854492,1.2890064646216,1.22282490995447,1.346547384565774
1,0.8575784572109695,0.8632438530551517,0.8519130613667875,0.7975285171102662,0.8041825095057035,0.7908745247148289,0.7557034220532319,0.747148288973384,0.7642585551330798,7.963513177983901,7.6449892661150765,0.3185238960911246,1.701927570735707,4.93455208082879,4.927518579656678,1.2270049658451696,2.4473997897657997,4.912253773484394,0.37167300380228135,0.37072243346007605,0.3726235741444867,0.5855513307984791,0.5893536121673004,0.5817490494296578,3.730315923690796,1.3164928590550142,1.2397507244416517,1.3874215599248618
2,0.8627038354885411,0.8640354792427383,0.8613721917343438,0.7984790874524715,0.7984790874524715,0.7984790874524715,0.7747148288973384,0.7680608365019012,0.7813688212927756,7.689261688905604,7.347661018371582,0.3416007599409889,1.6652190264533548,4.960445772361204,4.955344692360689,1.1919405228058195,2.4473164697617165,4.843692585032702,0.3659695817490494,0.37072243346007605,0.3612167300380228,0.5731939163498099,0.5779467680608364,0.5684410646387833,3.648879051208496,1.2944199828540577,1.2185798336117892,1.3824909594575716
3,0.862813013259133,0.8672375127736992,0.8583885137445638,0.8022813688212928,0.811787072243346,0.7927756653992395,0.8517110266159695,0.8460076045627376,0.8574144486692015,7.626945691950181,7.280500804676729,0.34644485571805167,1.7039570808410645,5.034539180798797,5.0361989694064295,1.1942260271016183,2.4189496561562343,4.814622022919782,0.3488593155893536,0.3517110266159696,0.34600760456273766,0.5712927756653993,0.5836501901140685,0.55893536121673,3.805577039718628,1.3364675886490767,1.2678538937079136,1.3786366622710862
4,0.8512844423842991,0.8522965092202957,0.8502723755483016,0.7842205323193916,0.785171102661597,0.7832699619771863,0.8631178707224335,0.8650190114068441,0.8612167300380228,8.394609956180348,7.7604742330663345,0.6341357406447915,1.7452198056613697,5.145224958600796,5.139270345025439,1.2186765387767622,2.420861784255866,4.926937930597552,0.3688212927756654,0.3669201520912547,0.37072243346007605,0.594106463878327,0.5874524714828897,0.6007604562737643,3.8607239723205566,1.350854705361759,1.2533863712626265,1.4234434582661313
5,0.8698628852121963,0.8685233493272512,0.8712024210971402,0.8108365019011406,0.811787072243346,0.8098859315589354,0.8374524714828897,0.8460076045627376,0.8288973384030418,8.022894130033606,7.791889134575339,0.23100501737173865,1.7707696101244759,5.141367401575996,5.135537207126617,1.1787355560880197,2.374981803553445,4.942351483120211,0.3602661596958175,0.3669201520912547,0.35361216730038025,0.6102661596958175,0.6007604562737643,0.6197718631178707,3.970393180847168,1.3788651017581715,1.2979955989371688,1.4385368378670043
6,0.8770277356166759,0.8770875532867726,0.8769679179465787,0.8222433460076045,0.8231939163498099,0.8212927756653993,0.8260456273764258,0.844106463878327,0.8079847908745247,7.828149823581471,7.48326301574707,0.34488678855054516,1.671942528556375,4.908021697534072,4.899972724776736,1.1514206281066395,2.366988079630451,4.892730162680829,0.3745247148288973,0.37072243346007605,0.37832699619771865,0.6036121673003803,0.6064638783269962,0.6007604562737643,3.648552417755127,1.2943304777145386,1.2219990618781897,1.3657791379966664
7,0.8432462130572447,0.845208209938038,0.8412842161764504,0.776615969581749,0.7813688212927756,0.7718631178707225,0.7775665399239544,0.7775665399239544,0.7775665399239544,7.347171110265395,7.152089175056009,0.19508197290055893,1.681995756485883,4.777087780896409,4.76088301030657,1.2211888327684692,2.3997550474487856,4.760653260089598,0.35551330798479086,0.3574144486692015,0.35361216730038025,0.5503802281368821,0.5399239543726235,0.5608365019011406,3.752568483352661,1.3224404769785263,1.2322870810222264,1.4050567961464364
8,0.8345798386497194,0.8387527511571461,0.8304069261422914,0.7585551330798479,0.7699619771863118,0.747148288973384,0.7728136882129277,0.785171102661597,0.7604562737642585,8.103833338793587,7.546557174009435,0.5572761016733506,1.7023605949738447,5.10932417928828,5.104132052905757,1.2750466198522328,2.482536669610899,4.933103543610628,0.40399239543726234,0.42395437262357416,0.3840304182509506,0.6055133079847909,0.6064638783269962,0.6045627376425855,3.7414002418518066,1.319459971259622,1.2401301532190563,1.3902978770179895
9,0.8494397049040767,0.8492553135212974,0.8496240962868546,0.7832699619771863,0.779467680608365,0.7870722433460076,0.7690114068441065,0.7661596958174905,0.7718631178707225,7.029706057380228,6.541872445274802,0.48783358580925884,1.6277977929395788,4.581655943439645,4.574405269298939,1.1694951129673552,2.3516741307911935,4.499830128802093,0.33079847908745247,0.3269961977186312,0.33460076045627374,0.5057034220532319,0.5057034220532319,0.5057034220532319,3.654012441635132,1.2958258250180412,1.2138376883000928,1.3789004282353041
