path,artifact_type,canonical_status,used_by_final_manuscript,source_artifact,generation_script,generation_command,verification_command,sha256,bytes,notes
docs/heavy_artifacts_manifest.csv,external_artifact_manifest,audit_only,candidate,external release/archive artifact,generated from SHA256SUMS before Git history cleanup,TBD,manual archive hash and per-file SHA256 verification,44ef806157d1831854ff2c6ab358bf0fddf05e9bc6d7abe4a9d0421255f3d283,353586,Lists heavy retained artifacts removed from Git history and expected in the external archive.
paper/figures/family_case_distance_matrix.pdf,paper_figure,derived_paper_output,yes,results/dsh_validation/phase4_case_studies/,tractatus_structure_latents.evaluation.generate_paper_figures,python3 -m tractatus_structure_latents.evaluation.generate_paper_figures,python3 tools/validate_paper_figure_manifest.py,46735958fc0c33ce8930469e043e1bd52ea4f6d76728dc17a1eeb5902822ba42,24859,Final Figure 1 artifact.
paper/figures/family_case_distance_matrix.png,paper_figure,derived_paper_output,yes,results/dsh_validation/phase4_case_studies/,tractatus_structure_latents.evaluation.generate_paper_figures,python3 -m tractatus_structure_latents.evaluation.generate_paper_figures,python3 tools/validate_paper_figure_manifest.py,0b5914cfd1f0d94aa2eff3f7152b2037e0b6c8d35305180a373c646f7a4338b9,298733,Final Figure 1 artifact.
paper/figures/family_case_distance_matrix_data.csv,paper_figure_source_data,derived_paper_output,yes,results/dsh_validation/phase4_case_studies/,tractatus_structure_latents.evaluation.generate_paper_figures,python3 -m tractatus_structure_latents.evaluation.generate_paper_figures,python3 tools/validate_paper_figure_manifest.py,57cfb12bf82d1e3d8d359ea49a248b2dbee440532362582f6d887691b931c7c4,718,Final Figure 1 artifact.
paper/figures/figure_manifest.csv,figure_manifest,audit_only,no,final manuscript and paper/figures/,manual manifest construction from final manuscript figure files,TBD,python3 tools/validate_paper_figure_manifest.py,aab75f12de4e9480a33dd998be9ea92c4ff85b2ede063036a4974d25eac3a3dc,936,Maps final manuscript figure use and cleanup status.
paper/figures/validation/Figure_1_Retained_Ablation_Diagnostics_publication.pdf,validation_figure,derived_paper_output,candidate,results/dsh_validation/phase1_ablations/; results/dsh_validation/phase2_family_holdout/; results/dsh_validation/canonical_reports/retained_lexical_references.csv,tractatus_structure_latents.evaluation.generate_paper_figures,python3 -m tractatus_structure_latents.evaluation.generate_paper_figures --skip-family-distance,python3 tools/validate_paper_figure_manifest.py --require-validation,47d2bebee02a540076e59009ce35c3c7fd8853d26d763b59bdd346f0419af971,17085,Publication-quality validation figure artifact.
paper/figures/validation/Figure_1_Retained_Ablation_Diagnostics_publication.png,validation_figure,derived_paper_output,candidate,results/dsh_validation/phase1_ablations/; results/dsh_validation/phase2_family_holdout/; results/dsh_validation/canonical_reports/retained_lexical_references.csv,tractatus_structure_latents.evaluation.generate_paper_figures,python3 -m tractatus_structure_latents.evaluation.generate_paper_figures --skip-family-distance,python3 tools/validate_paper_figure_manifest.py --require-validation,c76eafc8ab1d1342079555a8da46919fffb359ff0b54159151be9af57ac34ea1,464260,Publication-quality validation figure artifact.
paper/figures/validation/Figure_1_Retained_Ablation_Diagnostics_publication.tiff,validation_figure,derived_paper_output,candidate,results/dsh_validation/phase1_ablations/; results/dsh_validation/phase2_family_holdout/; results/dsh_validation/canonical_reports/retained_lexical_references.csv,tractatus_structure_latents.evaluation.generate_paper_figures,python3 -m tractatus_structure_latents.evaluation.generate_paper_figures --skip-family-distance,python3 tools/validate_paper_figure_manifest.py --require-validation,fcca0e68d004797d32e13cc48f4025f3c581eab2e8ae7f13dc93070c8cb43d42,91738598,Publication-quality validation figure artifact.
paper/figures/validation/Figure_2_Retained_vs_Holdout_Retrieval_publication.pdf,validation_figure,derived_paper_output,candidate,results/dsh_validation/phase1_ablations/; results/dsh_validation/phase2_family_holdout/; results/dsh_validation/canonical_reports/retained_lexical_references.csv,tractatus_structure_latents.evaluation.generate_paper_figures,python3 -m tractatus_structure_latents.evaluation.generate_paper_figures --skip-family-distance,python3 tools/validate_paper_figure_manifest.py --require-validation,608df3d8ff4cae8c6c935b9bb4e8bf021d705cbe4c9f3fdff9a85c605e4dfd61,17307,Publication-quality validation figure artifact.
paper/figures/validation/Figure_2_Retained_vs_Holdout_Retrieval_publication.png,validation_figure,derived_paper_output,candidate,results/dsh_validation/phase1_ablations/; results/dsh_validation/phase2_family_holdout/; results/dsh_validation/canonical_reports/retained_lexical_references.csv,tractatus_structure_latents.evaluation.generate_paper_figures,python3 -m tractatus_structure_latents.evaluation.generate_paper_figures --skip-family-distance,python3 tools/validate_paper_figure_manifest.py --require-validation,cc890d918a83f4bf7739db4a274f6aea7db454ed5bd9899fb9ba482a2315ceab,527569,Publication-quality validation figure artifact.
